NC_006088.5	6	5315	NC_044341.1	19620947	19626330	-
NC_006088.5	5351	8781	NC_044328.1	129904988	129906508	+
NC_006088.5	20143	20521	NC_044327.1	47467489	47467860	-
NC_006088.5	21074	21263	NC_044328.1	78603000	78603198	+
NC_006088.5	38567	38640	NC_044325.1	184095	184169	-
NC_006088.5	50467	50552	NC_044341.1	11886494	11886583	-
NC_006088.5	52406	53153	NC_044326.1	138169043	138169791	+
NC_006088.5	53153	53519	NC_044329.1	113393953	113394312	+
NC_006088.5	58347	58424	NC_044329.1	110487171	110487256	-
NC_006088.5	58424	58645	NC_044334.1	22765489	22765709	-
NC_006088.5	59195	60056	NC_044324.1	125672697	125673721	+
NC_006088.5	63184	63261	NC_044329.1	110487171	110487256	-
NC_006088.5	63261	63482	NC_044334.1	22765489	22765709	-
NC_006088.5	64032	64893	NC_044324.1	125672697	125673721	+
NC_006088.5	69634	69674	NC_044339.1	7341387	7341427	+
NC_006088.5	75471	75572	NC_044331.1	82966287	82966386	-
NC_006088.5	75705	75780	NC_044333.1	2394244	2394319	-
NC_006088.5	76786	76929	NC_044328.1	100270772	100270928	-
NC_006088.5	80947	81397	NC_044333.1	2370969	2373407	-
NC_006088.5	81468	81578	NC_044333.1	2367462	2367572	-
NC_006088.5	82001	82323	NC_044323.1	188832074	188833528	+
NC_006088.5	96596	96836	NC_044329.1	89095913	89096161	-
NC_006088.5	97651	100246	NC_044331.1	46139	57188	-
NC_006088.5	105685	105760	NC_044331.1	5459516	5459584	+
NC_006088.5	106677	112095	NC_044327.1	10770177	10776961	-
NC_006088.5	112695	112897	NC_044327.1	10767974	10768187	-
NC_006088.5	112954	113042	NC_044327.1	10774571	10774662	+
NC_006088.5	115206	115695	NC_044329.1	89082708	89083221	+
NC_006088.5	123782	123879	NC_044340.1	8411257	8411375	+
NC_006088.5	129786	130958	NC_044340.1	8308582	8311014	+
NC_006088.5	135569	135830	NC_044329.1	93508711	93508992	+
NC_006088.5	149315	149408	NC_044330.1	101148014	101148102	-
NC_006088.5	150089	150155	NC_044338.1	14875344	14875410	+
NC_006088.5	154952	155419	NC_044340.1	8308592	8309067	-
NC_006088.5	169754	170250	NC_044329.1	89082701	89083221	-
NC_006088.5	172401	172499	NC_044327.1	10774571	10774668	-
NC_006088.5	172558	172761	NC_044327.1	10767974	10768187	+
NC_006088.5	173361	175529	NC_044327.1	10770177	10772495	+
NC_006088.5	177494	177603	NC_044327.1	10774558	10774668	+
NC_006088.5	191263	191394	NC_044325.1	94187009	94187140	-
NC_006088.5	211749	214084	NC_044328.1	91570390	91572383	+
NC_006088.5	214157	214205	NC_044323.1	115915873	115915921	+
NC_006088.5	226737	229004	NC_044332.1	10551388	10553673	-
NC_006088.5	254810	254941	NC_044324.1	49396001	49396132	-
NC_006088.5	269131	269388	NC_044323.1	144390542	144390793	+
NC_006088.5	275951	277211	NC_044323.1	144393774	144395085	+
NC_006088.5	280979	282368	NC_044325.1	42045707	42047504	+
NC_006088.5	282450	282977	NC_044332.1	21094935	21095460	-
NC_006088.5	309912	310051	NC_044325.1	146011832	146011971	+
NC_006088.5	311108	313266	NC_044325.1	146014583	146015619	+
NC_006088.5	314479	314698	NC_044325.1	146020467	146020686	+
NC_006088.5	315226	315288	NC_044323.1	219618367	219618429	+
NC_006088.5	318502	319501	NC_044344.1	15287851	15288860	+
NC_006088.5	325398	325497	NC_044325.1	85934982	85935081	+
NC_006088.5	326213	326307	NC_044325.1	85936381	85936475	+
NC_006088.5	341917	347215	NC_044325.1	85980029	85984039	+
NC_006088.5	354729	354862	NC_044332.1	3747558	3747699	-
NC_006088.5	361078	361174	NC_044325.1	86916818	86916914	-
NC_006088.5	362605	362753	NC_044325.1	86913770	86913918	-
NC_006088.5	363603	364366	NC_044325.1	86906949	86907958	-
NC_006088.5	365677	365867	NC_044342.1	7012883	7013070	-
NC_006088.5	365947	366066	NC_044325.1	86904814	86904933	-
NC_006088.5	367639	367822	NC_044337.1	4847768	4847950	+
NC_006088.5	369940	370082	NC_044325.1	86892106	86892248	-
NC_006088.5	373257	374211	NC_044342.1	12410335	12411302	+
NC_006088.5	392928	393608	NC_044340.1	21328593	21329122	+
NC_006088.5	393844	394049	NC_044325.1	155507745	155507948	+
NC_006088.5	394578	394831	NC_044325.1	155493156	155493384	-
NC_006088.5	398246	398347	NC_044333.1	39766936	39767037	+
NC_006088.5	398786	398894	NC_044333.1	39769817	39769925	+
NC_006088.5	399758	399830	NC_044331.1	75655329	75655409	+
NC_006088.5	401212	401311	NC_044333.1	39782740	39782839	+
NC_006088.5	403547	404765	NC_044325.1	155497476	155498990	+
NC_006088.5	405834	406425	NC_044328.1	123011522	123012116	+
NC_006088.5	407087	407491	NC_044340.1	21760017	21760411	+
NC_006088.5	410638	410683	NC_044344.1	8820497	8820542	-
NC_006088.5	410683	410810	NC_044329.1	1731497	1731596	-
NC_006088.5	411494	411665	NC_044329.1	40262247	40262380	-
NC_006088.5	411827	411916	NC_044329.1	40262247	40262355	-
NC_006088.5	413396	413632	NC_044329.1	102695371	102695584	-
NC_006088.5	418881	419194	NC_044332.1	10348013	10348318	-
NC_006088.5	423709	424453	NC_044330.1	8927374	8928105	-
NC_006088.5	431066	431138	NC_044333.1	9885238	9885314	+
NC_006088.5	431138	431228	NC_044324.1	45182489	45182582	-
NC_006088.5	431289	431724	NC_044330.1	70039175	70039461	+
NC_006088.5	431964	432128	NC_044338.1	21470625	21470789	+
NC_006088.5	436193	436238	NC_044332.1	57964013	57964058	+
NC_006088.5	453489	453810	NC_044330.1	35245833	35246138	+
NC_006088.5	458584	458741	NC_044330.1	46478024	46478187	+
NC_006088.5	465258	465348	NC_044325.1	86293734	86293824	+
NC_006088.5	474428	474550	NC_044325.1	86294776	86294898	+
NC_006088.5	476738	479812	NC_044325.1	69151808	69156737	+
NC_006088.5	480395	480621	NC_044326.1	37061314	37061542	+
NC_006088.5	485586	486993	NC_044325.1	86303001	86304475	+
NC_006088.5	487737	487863	NC_044325.1	86320017	86320143	+
NC_006088.5	495037	495191	NC_044323.1	109901689	109901861	-
NC_006088.5	495191	496002	NC_044326.1	75410196	75410888	+
NC_006088.5	496002	496294	NC_044324.1	111046008	111046326	-
NC_006088.5	497228	497488	NC_044323.1	24168490	24168783	-
NC_006088.5	498616	498687	NC_044323.1	259923247	259923327	-
NC_006088.5	499789	499857	NC_044323.1	242543764	242543833	-
NC_006088.5	507398	507486	NC_044325.1	86378115	86378203	+
NC_006088.5	509719	510112	NC_044333.1	44040974	44041355	+
NC_006088.5	517453	517508	NC_044327.1	118054787	118054842	-
NC_006088.5	534779	534904	NC_044323.1	104867410	104867539	+
NC_006088.5	536991	537077	NC_044340.1	2381609	2381695	-
NC_006088.5	540489	540588	NC_044325.1	28237921	28238026	-
NC_006088.5	549031	549355	NC_044341.1	18101094	18101396	-
NC_006088.5	552989	553110	NC_044325.1	86469371	86469492	+
NC_006088.5	558798	558889	NC_044324.1	4282266	4282362	+
